rank,method,lr,batch_size,best_val_acc,best_val_loss,stopped_epoch,duration_sec
1,Grid Search,0.01,16,90.0,0.2225,20,412.9
2,Grid Search,0.01,32,90.0,0.2829,30,587.7
3,Bayesian (Optuna),5e-05,32,86.67,0.6126,30,627.2
4,Random Search,0.01,8,86.67,0.2497,27,729.5
5,Random Search,0.005,8,86.67,0.2921,15,346.9
6,Random Search,0.0001,8,86.67,0.5055,30,639.7
7,Bayesian (Optuna),0.0005,32,83.33,0.4299,30,611.8
8,Bayesian (Optuna),0.0001,8,83.33,0.5117,30,662.3
9,Bayesian (Optuna),0.001,16,83.33,0.3666,26,574.8
10,Random Search,0.0001,8,83.33,0.5185,30,814.6
11,Bayesian (Optuna),0.001,32,83.33,0.3603,30,635.9
12,Bayesian (Optuna),0.0001,8,80.0,0.5439,30,688.6
13,Random Search,0.0001,32,80.0,0.5817,30,615.1
14,Grid Search,0.0001,16,80.0,0.5652,30,662.6
15,Bayesian (Optuna),0.001,16,80.0,0.3373,30,641.1
16,Bayesian (Optuna),0.0005,16,80.0,0.3899,30,691.9
17,Grid Search,0.001,16,76.67,0.3566,30,621.5
18,Grid Search,0.001,32,76.67,0.4262,24,484.7
19,Bayesian (Optuna),0.0001,8,73.33,0.5169,30,686.0
20,Grid Search,0.0001,32,70.0,0.6061,30,621.2
21,Bayesian (Optuna),5e-05,16,60.0,0.6634,7,147.0
22,Random Search,0.1,32,50.0,50.0,6,118.1
